,genre
0,latin
1,metal
2,classical
3,metal
4,funk
5,classical
6,classical
7,metal
8,latin
9,classical
10,latin
11,funk
12,classical
13,romance
14,classical
15,blues
16,jazz
17,classical
18,latin
19,jazz
20,classical
21,classical
22,jazz
23,rock
24,jazz
25,classical
26,jazz
27,reggae
28,jazz
29,reggae
30,metal
31,latin
32,classical
33,romance
34,party
35,classical
36,rock
37,party
38,latin
39,classical
40,metal
41,romance
42,blues
43,classical
44,jazz
45,indie_alt
46,jazz
47,classical
48,classical
49,blues
50,reggae
51,rock
52,classical
53,blues
54,classical
55,jazz
56,classical
57,funk
58,classical
59,classical
60,classical
61,classical
62,classical
63,latin
64,latin
65,classical
66,jazz
67,jazz
68,classical
69,indie_alt
70,hiphop
71,party
72,latin
73,metal
74,rock
75,latin
76,jazz
77,latin
78,jazz
79,classical
80,jazz
81,metal
82,classical
83,classical
84,indie_alt
85,jazz
86,jazz
87,metal
88,latin
89,metal
90,rock
91,pop
92,classical
93,classical
94,funk
95,classical
96,classical
97,hiphop
98,hiphop
99,classical
100,classical
101,classical
102,hiphop
103,metal
104,latin
105,jazz
106,classical
107,classical
108,latin
109,latin
110,funk
111,classical
112,jazz
113,classical
114,classical
115,latin
116,party
117,classical
118,classical
119,metal
120,classical
121,classical
122,classical
123,jazz
124,jazz
125,pop
126,classical
127,latin
128,funk
129,classical
130,classical
131,classical
132,romance
133,classical
134,classical
135,classical
136,classical
137,funk
138,funk
139,jazz
140,hiphop
141,blues
142,funk
143,jazz
144,jazz
145,latin
146,classical
147,metal
148,funk
149,classical
150,jazz
151,classical
152,classical
153,indie_alt
154,jazz
155,classical
156,jazz
157,jazz
158,jazz
159,funk
160,latin
161,jazz
162,rock
163,classical
164,metal
165,metal
166,rock
167,jazz
168,classical
169,classical
170,classical
171,jazz
172,hiphop
173,classical
174,funk
175,jazz
176,metal
177,classical
178,classical
179,party
180,jazz
181,jazz
182,latin
183,classical
184,classical
185,latin
186,hiphop
187,classical
188,funk
189,jazz
190,party
191,classical
192,blues
193,jazz
194,jazz
195,classical
196,rock
197,classical
198,blues
199,classical
200,classical
201,jazz
202,classical
203,metal
204,classical
205,latin
206,jazz
207,classical
208,classical
209,classical
210,party
211,jazz
212,jazz
213,funk
214,funk
215,jazz
216,classical
217,party
218,latin
219,classical
220,hiphop
221,classical
222,romance
223,blues
224,indie_alt
225,classical
226,jazz
227,jazz
228,blues
229,classical
230,classical
231,classical
232,jazz
233,indie_alt
234,metal
235,classical
236,classical
237,funk
238,classical
239,jazz
240,metal
241,funk
242,blues
243,classical
244,latin
245,jazz
246,metal
247,latin
248,jazz
249,classical
250,romance
251,party
252,jazz
253,metal
254,classical
255,classical
256,metal
257,jazz
258,latin
259,latin
260,latin
261,hiphop
262,funk
263,romance
264,blues
265,romance
266,pop
267,hiphop
268,rock
269,jazz
270,latin
271,hiphop
272,classical
273,funk
274,classical
275,metal
276,latin
277,classical
278,classical
279,classical
280,funk
281,classical
282,party
283,classical
284,latin
285,jazz
286,blues
287,classical
288,latin
289,classical
290,classical
291,classical
292,classical
293,classical
294,latin
295,classical
296,classical
297,blues
298,classical
299,party
300,romance
301,party
302,funk
303,classical
304,classical
305,classical
306,classical
307,classical
308,latin
309,metal
310,metal
311,jazz
312,classical
313,classical
314,hiphop
315,party
316,latin
317,latin
318,funk
319,romance
320,classical
321,jazz
322,funk
323,jazz
324,classical
325,indie_alt
326,jazz
327,classical
328,rock
329,party
330,classical
331,classical
332,classical
333,jazz
334,metal
335,jazz
336,classical
337,jazz
338,classical
339,jazz
340,latin
341,classical
342,latin
343,classical
344,jazz
345,classical
346,latin
347,jazz
348,classical
349,classical
350,metal
351,rock
352,classical
353,funk
354,jazz
355,jazz
356,metal
357,metal
358,classical
359,classical
360,latin
361,metal
362,classical
363,classical
364,jazz
365,classical
366,metal
367,rock
368,classical
369,latin
370,metal
371,jazz
372,party
373,metal
374,hiphop
375,metal
376,jazz
377,classical
378,jazz
379,jazz
380,jazz
381,jazz
382,classical
383,classical
384,funk
385,classical
386,jazz
387,latin
388,rock
389,jazz
390,classical
391,hiphop
392,jazz
393,latin
394,classical
395,classical
396,classical
397,jazz
398,metal
399,jazz
400,jazz
401,funk
402,jazz
403,funk
404,metal
405,classical
406,classical
407,latin
408,funk
409,classical
410,hiphop
411,classical
412,jazz
413,metal
414,romance
415,metal
416,latin
417,blues
418,jazz
419,romance
420,classical
421,reggae
422,hiphop
423,classical
424,jazz
425,latin
426,metal
427,classical
428,hiphop
429,hiphop
430,jazz
431,classical
432,rock
433,funk
434,classical
435,blues
436,classical
437,funk
438,metal
439,hiphop
440,classical
441,jazz
442,party
443,classical
444,classical
445,jazz
446,classical
447,latin
448,hiphop
449,jazz
450,latin
451,funk
452,pop
453,hiphop
454,funk
455,jazz
456,jazz
457,jazz
458,classical
459,latin
460,classical
461,party
462,jazz
463,jazz
464,jazz
465,hiphop
466,rock
467,classical
468,funk
469,jazz
470,indie_alt
471,blues
472,indie_alt
473,classical
474,jazz
475,jazz
476,metal
477,funk
478,classical
479,classical
480,hiphop
481,rock
482,classical
483,jazz
484,latin
485,classical
486,hiphop
487,jazz
488,jazz
489,classical
490,funk
491,rock
492,funk
493,romance
494,romance
495,jazz
496,blues
497,classical
498,funk
499,jazz
500,jazz
501,jazz
502,hiphop
503,funk
504,jazz
505,jazz
506,jazz
507,classical
508,latin
509,reggae
510,romance
511,funk
512,classical
513,metal
514,classical
515,rock
516,jazz
517,jazz
518,jazz
519,metal
520,latin
521,funk
522,metal
523,hiphop
524,metal
525,jazz
526,classical
527,classical
528,classical
529,rock
530,classical
531,metal
532,jazz
533,jazz
534,latin
535,jazz
536,metal
537,funk
538,rock
539,hiphop
540,classical
541,latin
542,classical
543,jazz
544,jazz
545,romance
546,funk
547,metal
548,funk
549,classical
550,jazz
551,jazz
552,metal
553,classical
554,classical
555,pop
556,classical
557,party
558,jazz
559,latin
560,blues
561,hiphop
562,hiphop
563,jazz
564,funk
565,rock
566,rock
567,jazz
568,latin
569,jazz
570,funk
571,metal
572,jazz
573,classical
574,jazz
575,indie_alt
576,classical
577,latin
578,hiphop
579,latin
580,metal
581,latin
582,classical
583,party
584,hiphop
585,jazz
586,metal
587,jazz
588,jazz
589,classical
590,classical
591,jazz
592,jazz
593,indie_alt
594,latin
595,metal
596,metal
597,classical
598,latin
599,jazz
600,classical
601,jazz
602,jazz
603,jazz
604,reggae
605,funk
606,metal
607,jazz
608,jazz
609,jazz
610,romance
611,metal
612,funk
613,jazz
614,jazz
615,classical
616,latin
617,classical
618,rock
619,latin
620,funk
621,classical
622,metal
623,blues
624,latin
625,latin
626,metal
627,classical
628,latin
629,classical
630,classical
631,jazz
632,indie_alt
633,romance
634,classical
635,metal
636,jazz
637,classical
638,rock
639,classical
640,metal
641,pop
642,metal
643,classical
644,classical
645,metal
646,classical
647,metal
648,indie_alt
649,classical
650,jazz
651,jazz
652,classical
653,metal
